Service Delivery Area(T),Service Delivery Team(T),CostC,ExpenditureGroup(T),Account(T),Supplier Name(T),Trans Date,Amount
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,ESAE,Supplies & Services,Other Grants (Expenses),CH2M HILL,24/09/2014,161.05
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,ESAE,Supplies & Services,Other Grants (Expenses),FITZGERALD CONTRACTORS LTD,05/09/2014,524.78
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,ESAE,Supplies & Services,Other Grants (Expenses),FITZGERALD CONTRACTORS LTD,05/09/2014,696.96
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,ESAH,Supplies & Services,Other Services,PARSONS BRINCKERHOFF,09/09/2014,1590
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,ESAJ,Supplies & Services,Other Services,FITZGERALD CONTRACTORS LTD,05/09/2014,2092.79
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,ESAJ,Supplies & Services,Other Services,TELFORD & WREKIN SERVICES LTD,14/09/2014,78853.57
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,ESAL,Supplies & Services,Other Services,ENVIRONMENT AGENCY,08/09/2014,13311.25
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,ESAM,Employees,Staff Training,INSTITUTION OF LIGHTING PROFESSIONAL,10/09/2014,3600
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,ESAM,Supplies & Services,Subscriptions,CHART INST PUBLIC FINANCE & ACCOUNTANCY,24/09/2014,895
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,ESAM,Supplies & Services,Equipment - Hire,STANFORD MARSH FINANCE LTD,10/09/2014,345
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,ESAM,Third Party Payments,Private Contractors,FITZGERALD CONTRACTORS LTD,10/09/2014,3638.92
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,EWAD,Supplies & Services,Other Services,SITA UK,01/09/2014,3246.93
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,EWAD,Supplies & Services,Other Services,SITA UK,22/09/2014,4244.95
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,EWAD,Supplies & Services,Other Services,SITA UK,15/09/2014,7069.36
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,EWAD,Third Party Payments,Contractor Recharge,SITA UK,01/09/2014,4932.32
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,EWAD,Third Party Payments,Contractor Recharge,SITA UK,22/09/2014,5918.78
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,WEAC,Capital Expenditure,Payments to Contractor,FITZGERALD CONTRACTORS LTD,09/09/2014,19415.12
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,WEAC,Capital Expenditure,Payments to Contractor,FITZGERALD CONTRACTORS LTD,29/09/2014,25466.94
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,WEAC,Capital Expenditure,Payments to Contractor,TELFORD & WREKIN SERVICES LTD,16/09/2014,9525.16
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,WEAD,Capital Expenditure,Payments to Contractor,A HAND SERVICES (Dyno Rod) LTD,19/09/2014,315
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,WEAD,Capital Expenditure,Payments to Contractor,CH2M HILL,24/09/2014,112.38
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,WEAD,Capital Expenditure,Payments to Contractor,CH2M HILL,26/09/2014,998.6
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,WEAD,Capital Expenditure,Payments to Contractor,CH2M HILL,26/09/2014,1734.98
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,WEAD,Capital Expenditure,Payments to Contractor,FITZGERALD CONTRACTORS LTD,30/09/2014,10584.7
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,WEAD,Capital Expenditure,Payments to Contractor,FITZGERALD CONTRACTORS LTD,30/09/2014,4319.9
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,WEAD,Capital Expenditure,Payments to Contractor,FITZGERALD CONTRACTORS LTD,05/09/2014,5842.97
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,WEAD,Capital Expenditure,Payments to Contractor,FITZGERALD CONTRACTORS LTD,19/09/2014,21014.43
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,WEAD,Capital Expenditure,Payments to Contractor,FITZGERALD CONTRACTORS LTD,19/09/2014,6619.13
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,WEAD,Capital Expenditure,Payments to Contractor,FITZGERALD CONTRACTORS LTD,19/09/2014,2137.29
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,WEAD,Capital Expenditure,Payments to Contractor,PRYSMIAN CABLES & SYSTEMS LTD,17/09/2014,829.83
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,WEAG,Capital Expenditure,External Professional Fees,CH2M HILL,24/09/2014,313.93
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,WEAG,Capital Expenditure,Payments to Contractor,CH2M HILL,24/09/2014,386.19
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,WEAG,Capital Expenditure,Payments to Contractor,CH2M HILL,24/09/2014,1688.57
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,WEAG,Capital Expenditure,External Professional Fees,CH2M HILL,24/09/2014,298.8
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,WEAG,Capital Expenditure,Payments to Contractor,MCPHILLIPS (WELLINGTON) LTD,09/09/2014,1568.18
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,WEAG,Capital Expenditure,Payments to Contractor,MCPHILLIPS (WELLINGTON) LTD,09/09/2014,3178.98
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,WEAG,Capital Expenditure,Payments to Contractor,NETWORK RAIL INFRASTRUCTURE LTD,09/09/2014,910.29
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,WEBA,Capital Expenditure,Payments to Contractor,FITZGERALD CONTRACTORS LTD,02/09/2014,1228.48
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,WEBA,Capital Expenditure,Payments to Contractor,FITZGERALD CONTRACTORS LTD,02/09/2014,2040.59
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,WEBA,Capital Expenditure,Payments to Contractor,Treeman Tree Care,29/09/2014,3890
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,WEBB,Capital Expenditure,Payments to Contractor,FITZGERALD CONTRACTORS LTD,19/09/2014,1921.14
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,WEBB,Capital Expenditure,Payments to Contractor,PRYSMIAN CABLES & SYSTEMS LTD,17/09/2014,227.01
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,WEBB,Capital Expenditure,Payments to Contractor,PRYSMIAN CABLES & SYSTEMS LTD,17/09/2014,210.49
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,WEBB,Capital Expenditure,Payments to Contractor,PRYSMIAN CABLES & SYSTEMS LTD,17/09/2014,871.8
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,WEBB,Capital Expenditure,Payments to Contractor,PRYSMIAN CABLES & SYSTEMS LTD,17/09/2014,987.38
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,WEBC,Capital Expenditure,Payments to Contractor,UNICORN CONTAINERS LTD,22/09/2014,11472.3
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,WESB,Capital Expenditure,Payments to Contractor,PRYSMIAN CABLES & SYSTEMS LTD,17/09/2014,33650
Neighbourhood & Leisure Services,Leisure Facilities & Services,EPAD,Supplies & Services,Other Materials,HOLLINSWOOD & RANDLAY PARISH COUNCIL,04/09/2014,450
Neighbourhood & Leisure Services,Leisure Facilities & Services,EPAD,Supplies & Services,Sub Contractors,PP ELECTRICAL SERVICES (Shropshire) Ltd,04/09/2014,250
Neighbourhood & Leisure Services,Leisure Facilities & Services,EPAD,Supplies & Services,Other Materials,Treeman Tree Care,26/09/2014,650
Neighbourhood & Leisure Services,Leisure Facilities & Services,EPAF,Supplies & Services,Sub Contractors,CHRIS HARDY TYRES LTD,11/09/2014,190
Neighbourhood & Leisure Services,Leisure Facilities & Services,EPAF,Supplies & Services,Sub Contractors,FITZGERALD CONTRACTORS LTD,11/09/2014,4123.48
Neighbourhood & Leisure Services,Leisure Facilities & Services,EPAF,Supplies & Services,Sub Contractors,FITZGERALD CONTRACTORS LTD,19/09/2014,9030.32
Neighbourhood & Leisure Services,Leisure Facilities & Services,EPAF,Supplies & Services,Sub Contractors,J & A Stevenson Limited,04/09/2014,1546
Neighbourhood & Leisure Services,Leisure Facilities & Services,EPAF,Supplies & Services,Sub Contractors,PP ELECTRICAL SERVICES (Shropshire) Ltd,18/09/2014,440
Neighbourhood & Leisure Services,Leisure Facilities & Services,EPAF,Supplies & Services,Sub Contractors,TELFORD & WREKIN SERVICES LTD,12/09/2014,1180
Neighbourhood & Leisure Services,Leisure Facilities & Services,GTAB,Supplies & Services,Sport Equip - Purchase,ADVENTURE KIT UK LIMITED,12/09/2014,108
Neighbourhood & Leisure Services,Leisure Facilities & Services,GTAB,Supplies & Services,Sport Equip - Purchase,ADVENTURE KIT UK LIMITED,18/09/2014,934.6
Neighbourhood & Leisure Services,Leisure Facilities & Services,GTAB,Supplies & Services,Instructors Fees,BACH VENTURES LTD,25/09/2014,730
Neighbourhood & Leisure Services,Leisure Facilities & Services,GTAB,Supplies & Services,Instructors Fees,BACH VENTURES LTD,26/09/2014,290
Neighbourhood & Leisure Services,Leisure Facilities & Services,GTAB,Supplies & Services,Provisions,BSF TRADING AS 3663,05/09/2014,529.59
Neighbourhood & Leisure Services,Leisure Facilities & Services,GTAB,Supplies & Services,Provisions,BSF TRADING AS 3663,18/09/2014,596.36
Neighbourhood & Leisure Services,Leisure Facilities & Services,GTAB,Supplies & Services,Provisions,BSF TRADING AS 3663,18/09/2014,666.6
Neighbourhood & Leisure Services,Leisure Facilities & Services,GTAB,Supplies & Services,Provisions,BSF TRADING AS 3663,26/09/2014,886.54
Neighbourhood & Leisure Services,Leisure Facilities & Services,GTAB,Supplies & Services,Health & Safety Expenses,CHALLENGE COURSE CONSULTANCY,18/09/2014,2536.6
Neighbourhood & Leisure Services,Leisure Facilities & Services,GTAB,Supplies & Services,Instructors Fees,CHRIS HUGHES MULTI ACTIVITY SERVICES LTD,12/09/2014,536.24
Neighbourhood & Leisure Services,Leisure Facilities & Services,GTAB,Supplies & Services,Sport Equip - Purchase,DELTA SPORTSWEAR LTD T/A NOOKIE,18/09/2014,252
Neighbourhood & Leisure Services,Leisure Facilities & Services,GTAB,Supplies & Services,Photocopying,WEST MERCIA SUPPLIES Catalogue Supplies (None Utility),26/09/2014,108.6
Neighbourhood & Leisure Services,Leisure Facilities & Services,GTAB,Supplies & Services,Provisions,WOODWARD FOODSERVICE LTD,05/09/2014,379.07
Neighbourhood & Leisure Services,Leisure Facilities & Services,GTAB,Supplies & Services,Provisions,WOODWARD FOODSERVICE LTD,05/09/2014,379.07
Neighbourhood & Leisure Services,Leisure Facilities & Services,GTAB,Supplies & Services,Provisions,WOODWARD FOODSERVICE LTD,05/09/2014,736.33
Neighbourhood & Leisure Services,Leisure Facilities & Services,GTAB,Supplies & Services,Provisions,WOODWARD FOODSERVICE LTD,18/09/2014,458.18
Neighbourhood & Leisure Services,Leisure Facilities & Services,GTAB,Supplies & Services,Provisions,WOODWARD FOODSERVICE LTD,18/09/2014,678.35
Neighbourhood & Leisure Services,Leisure Facilities & Services,GTAB,Transport-Related Expenditure,Vehicle Parts,FURROWS OF TELFORD,18/09/2014,127.53
Neighbourhood & Leisure Services,Leisure Facilities & Services,GTAB,Transport-Related Expenditure,Vehicle Parts,HARRIS GARAGES LTD,12/09/2014,148
Neighbourhood & Leisure Services,Leisure Facilities & Services,GTAB,Transport-Related Expenditure,Vehicle Parts,HARRIS GARAGES LTD,12/09/2014,190
Neighbourhood & Leisure Services,Leisure Facilities & Services,GTAB,Transport-Related Expenditure,Vehicle Parts,HARRIS GARAGES LTD,18/09/2014,111
Neighbourhood & Leisure Services,Leisure Facilities & Services,GTAB,Transport-Related Expenditure,Vehicle Parts,HARRIS GARAGES LTD,18/09/2014,111
Neighbourhood & Leisure Services,Leisure Facilities & Services,GTAB,Transport-Related Expenditure,Travelling Expenses General,SHROPSHIRE COUNCIL,05/09/2014,6150
Neighbourhood & Leisure Services,Leisure Facilities & Services,GTAB,Transport-Related Expenditure,Fuel,WD PUGH & SONS,18/09/2014,542.86
Neighbourhood & Leisure Services,Leisure Facilities & Services,LEAD,Premises-Related Expenditure,Swimming Pool Chemicals,BRENNTAG UK LIMITED,15/09/2014,250
Neighbourhood & Leisure Services,Leisure Facilities & Services,LEAD,Premises-Related Expenditure,Swimming Pool Chemicals,BRENNTAG UK LIMITED,15/09/2014,120
Neighbourhood & Leisure Services,Leisure Facilities & Services,LEAD,Premises-Related Expenditure,Preventative Maintenance,SAFETYSHOP,04/09/2014,119.6
Neighbourhood & Leisure Services,Leisure Facilities & Services,LEAD,Supplies & Services,Items For Resale,ASA AWARDS,10/09/2014,102.67
Neighbourhood & Leisure Services,Leisure Facilities & Services,LEAD,Supplies & Services,Items For Resale,ASA AWARDS,29/09/2014,154.03
Neighbourhood & Leisure Services,Leisure Facilities & Services,LEAD,Supplies & Services,Chemicals/Cleaning Products,PRINCIPAL HYGIENE SYSTEMS,23/09/2014,240
Neighbourhood & Leisure Services,Leisure Facilities & Services,LEAD,Supplies & Services,Chemicals/Cleaning Products,SERVO-CHEM (UK) LIMITED,05/09/2014,166.5
Neighbourhood & Leisure Services,Leisure Facilities & Services,LEAD,Supplies & Services,Items For Resale,SWIMRITE SUPPLIES LIMITED,23/09/2014,163.3
Neighbourhood & Leisure Services,Leisure Facilities & Services,LEAJ,Supplies & Services,Equipment - Hire,SPS LLP,18/09/2014,182.15
Neighbourhood & Leisure Services,Leisure Facilities & Services,LEAN,Supplies & Services,Sport Equip - Purchase,Jordan Leisure Systems Ltd,01/09/2014,1423.45
Neighbourhood & Leisure Services,Leisure Facilities & Services,LEAP,Supplies & Services,Equipment - Purchase,Techmat 2000 Limited,22/09/2014,4392
Neighbourhood & Leisure Services,Leisure Facilities & Services,LEBC,Supplies & Services,Other Services,AT BROWN (COACHES) LTD,18/09/2014,199
Neighbourhood & Leisure Services,Leisure Facilities & Services,LEBC,Supplies & Services,Other Services,INTERSERVE (FACILITIES MANAGEMENT) LTD,18/09/2014,165.5
Neighbourhood & Leisure Services,Leisure Facilities & Services,LEBC,Supplies & Services,Other Services,INTERSERVE (FACILITIES MANAGEMENT) LTD,26/09/2014,132.4
Neighbourhood & Leisure Services,Leisure Facilities & Services,LEBD,Supplies & Services,Other Services,TELFORD HORNETS RUGBY FOOTBALL CLUB,26/09/2014,660
Neighbourhood & Leisure Services,Leisure Facilities & Services,LEBG,Supplies & Services,Sport Equip - Purchase,J P LENNARD LTD,18/09/2014,338.68
Neighbourhood & Leisure Services,Leisure Facilities & Services,LEBK,Supplies & Services,Instructors Fees,TELFORD HORNETS RUGBY FOOTBALL CLUB,26/09/2014,250
Neighbourhood & Leisure Services,Leisure Facilities & Services,LEBT,Supplies & Services,Sport Equip - Purchase,J P LENNARD LTD,26/09/2014,249
Neighbourhood & Leisure Services,Leisure Facilities & Services,LEBT,Supplies & Services,Sport Equip - Purchase,J P LENNARD LTD,09/09/2014,-249
Neighbourhood & Leisure Services,Leisure Facilities & Services,LECA,Supplies & Services,Equipment - Purchase,CKL OFFICE SOLUTIONS LIMITED,09/09/2014,676
Neighbourhood & Leisure Services,Leisure Facilities & Services,LECA,Supplies & Services,Equipment - Purchase,CKL OFFICE SOLUTIONS LIMITED,09/09/2014,315
Neighbourhood & Leisure Services,Leisure Facilities & Services,LECA,Supplies & Services,Equipment - Hire,SPS LLP,19/09/2014,103.41
Neighbourhood & Leisure Services,Leisure Facilities & Services,LECA,Supplies & Services,Equipment - Hire,White Line (Telford) Ltd,08/09/2014,168
Neighbourhood & Leisure Services,Leisure Facilities & Services,LECA,Support Services,ICT Recharge,SPECIALIST COMPUTERS CENTRES PLC,02/09/2014,160.88
Neighbourhood & Leisure Services,Leisure Facilities & Services,LECE,Premises-Related Expenditure,Preventative Maintenance,CYBEX INTERNATIONAL UK LTD,05/09/2014,141.5
Neighbourhood & Leisure Services,Leisure Facilities & Services,LECK,Capital Financing Costs,Loans Repaid,LTA OPERATIONS LTD,24/09/2014,13000
Neighbourhood & Leisure Services,Leisure Facilities & Services,LECK,Supplies & Services,Service Contracts,FIRST POINT TENNIS COACHING LTD,19/09/2014,1735.83
Neighbourhood & Leisure Services,Leisure Facilities & Services,LECK,Supplies & Services,Service Contracts,FIRST POINT TENNIS COACHING LTD,19/09/2014,1571.25
Neighbourhood & Leisure Services,Leisure Facilities & Services,LECK,Supplies & Services,Service Contracts,FIRST POINT TENNIS COACHING LTD,19/09/2014,192.5
Neighbourhood & Leisure Services,Leisure Facilities & Services,LEDB,Supplies & Services,Advertising,SIGNS EXPRESS (TELFORD),02/09/2014,996
Neighbourhood & Leisure Services,Leisure Facilities & Services,LEDH,Employees,Superannuation Admin,SHROPSHIRE COUNCIL,15/09/2014,858.44
Neighbourhood & Leisure Services,Leisure Facilities & Services,LEDH,Supplies & Services,Flex Charges,CLARITY RETAIL SYSTEMS LTD,19/09/2014,280.57
Neighbourhood & Leisure Services,Leisure Facilities & Services,LEDL,Supplies & Services,First Aid,SP SERVICES (UK) LTD,18/09/2014,184.36
Neighbourhood & Leisure Services,Leisure Facilities & Services,LEDN,Supplies & Services,Licences,Les Mills Fitness UK Ltd,12/09/2014,150
Neighbourhood & Leisure Services,Leisure Facilities & Services,LEDN,Supplies & Services,Licences,Les Mills Fitness UK Ltd,12/09/2014,150
Neighbourhood & Leisure Services,Leisure Facilities & Services,LEHG,Supplies & Services,Equipment - Purchase,European Golf Machinery,25/09/2014,1501
Neighbourhood & Leisure Services,Leisure Facilities & Services,LEHG,Supplies & Services,Equipment - Hire,OAKLEYS LTD,25/09/2014,210.3
Neighbourhood & Leisure Services,Leisure Facilities & Services,LEHG,Supplies & Services,Equipment - Hire,OAKLEYS LTD,25/09/2014,525.75
Neighbourhood & Leisure Services,Leisure Facilities & Services,LEHG,Supplies & Services,Equipment - Hire,OAKLEYS LTD,15/09/2014,525.75
Neighbourhood & Leisure Services,Leisure Facilities & Services,LEHG,Supplies & Services,Equipment - Hire,OAKLEYS LTD,15/09/2014,210.3
Neighbourhood & Leisure Services,Leisure Facilities & Services,LEHG,Supplies & Services,Other Materials,SIGNS EXPRESS (TELFORD),25/09/2014,373
Neighbourhood & Leisure Services,Leisure Facilities & Services,LEHM,Supplies & Services,Protective Clothing,AMENITY LAND SERVICES LTD T/A MAXWELL AMENITY LTD,15/09/2014,685
Neighbourhood & Leisure Services,Leisure Facilities & Services,LEHM,Supplies & Services,Other Materials,AMENITY LAND SERVICES LTD T/A MAXWELL AMENITY LTD,15/09/2014,4363.11
Neighbourhood & Leisure Services,Leisure Facilities & Services,LEHM,Supplies & Services,Other Materials,AMENITY LAND SERVICES LTD T/A MAXWELL AMENITY LTD,29/09/2014,390
Neighbourhood & Leisure Services,Leisure Facilities & Services,LEHM,Supplies & Services,Other Materials,AMENITY LAND SERVICES LTD T/A MAXWELL AMENITY LTD,29/09/2014,540
Neighbourhood & Leisure Services,Leisure Facilities & Services,LEHM,Supplies & Services,Other Materials,Campey Turf Care Systems,29/09/2014,284
Neighbourhood & Leisure Services,Leisure Facilities & Services,LEHM,Supplies & Services,Other Materials,DCI RECYCLING,29/09/2014,140
Neighbourhood & Leisure Services,Leisure Facilities & Services,LEHM,Transport-Related Expenditure,Fuel,Butler Fuels,29/09/2014,999.6
Neighbourhood & Leisure Services,Leisure Facilities & Services,LEHS,Supplies & Services,Items For Resale,AMER SPORTS UK LTD,15/09/2014,270.9
Neighbourhood & Leisure Services,Leisure Facilities & Services,LEHS,Supplies & Services,Items For Resale,AMER SPORTS UK LTD,15/09/2014,222.6
Neighbourhood & Leisure Services,Leisure Facilities & Services,LEHS,Supplies & Services,Items For Resale,Worldwide Golf Brand LTD,15/09/2014,264
Neighbourhood & Leisure Services,Leisure Facilities & Services,LEIP,Supplies & Services,Payment Of Income Collected,"RED HOCKEY LTD, T/A TELFORD TIGERS",24/09/2014,1552.65
Neighbourhood & Leisure Services,Leisure Facilities & Services,LEIP,Supplies & Services,Payment Of Income Collected,"RED HOCKEY LTD, T/A TELFORD TIGERS",17/09/2014,1099.87
Neighbourhood & Leisure Services,Leisure Facilities & Services,LEIP,Supplies & Services,Payment Of Income Collected,"RED HOCKEY LTD, T/A TELFORD TIGERS",17/09/2014,2073.19
Neighbourhood & Leisure Services,Leisure Facilities & Services,LEIP,Supplies & Services,Payment Of Income Collected,"RED HOCKEY LTD, T/A TELFORD TIGERS",08/09/2014,2253.08
Neighbourhood & Leisure Services,Leisure Facilities & Services,LEIR,Premises-Related Expenditure,Gas,BUDGET GAS LTD,04/09/2014,123.16
Neighbourhood & Leisure Services,Leisure Facilities & Services,LEIR,Premises-Related Expenditure,Gas,BUDGET GAS LTD,04/09/2014,-123.16
Neighbourhood & Leisure Services,Leisure Facilities & Services,LEIR,Premises-Related Expenditure,Gas,BUDGET GAS LTD,03/09/2014,123.16
Neighbourhood & Leisure Services,Leisure Facilities & Services,LEIR,Premises-Related Expenditure,Gas,BUDGET GAS LTD,03/09/2014,-123.16
Neighbourhood & Leisure Services,Leisure Facilities & Services,LEIR,Premises-Related Expenditure,Gas,BUDGET GAS LTD,19/09/2014,153.95
Neighbourhood & Leisure Services,Leisure Facilities & Services,LEIR,Premises-Related Expenditure,Gas,BUDGET GAS LTD,19/09/2014,-153.95
Neighbourhood & Leisure Services,Leisure Facilities & Services,LEIR,Supplies & Services,Licences,PPL,24/09/2014,583.22
Neighbourhood & Leisure Services,Leisure Facilities & Services,LEIR,Supplies & Services,Equipment - Purchase,SLIDERS SKATE SHOP,24/09/2014,266
Neighbourhood & Leisure Services,Leisure Facilities & Services,LEIR,Supplies & Services,Equipment - Hire,V LOCKER UK LIMITED,24/09/2014,721
Neighbourhood & Leisure Services,Leisure Facilities & Services,LEIS,Supplies & Services,Items For Resale,NATIONAL ICE SKATING ASSOCIATION,17/09/2014,814
Neighbourhood & Leisure Services,Leisure Facilities & Services,LEMH,Supplies & Services,Promotion Expenses,INANDAROUND MAGAZINES,02/09/2014,212.16
Neighbourhood & Leisure Services,Leisure Facilities & Services,LEMH,Supplies & Services,Promotion Expenses,PARTNERSHIP PUBLISHING LTD,02/09/2014,600
Neighbourhood & Leisure Services,Leisure Facilities & Services,LENP,Supplies & Services,Sport Equip - Purchase,PRYCE (BUILDERS) LTD,15/09/2014,300
Neighbourhood & Leisure Services,Leisure Facilities & Services,LENP,Supplies & Services,Protective Clothing,SBA LTD,30/09/2014,180.33
Neighbourhood & Leisure Services,Leisure Facilities & Services,LEWA,Supplies & Services,Sport Equip - Purchase,Jordan Leisure Systems Ltd,03/09/2014,772.74
Neighbourhood & Leisure Services,Leisure Facilities & Services,LEWC,Premises-Related Expenditure,R&M -Buildings DLO Charge,GRANVILLE CONSTRUCTION & MAINTENANCE LTD,08/09/2014,2000
Neighbourhood & Leisure Services,Leisure Facilities & Services,LEWC,Premises-Related Expenditure,R&M -Buildings DLO Charge,GRANVILLE CONSTRUCTION & MAINTENANCE LTD,08/09/2014,8000
Neighbourhood & Leisure Services,Leisure Facilities & Services,LEWC,Premises-Related Expenditure,R&M -Buildings DLO Charge,GRANVILLE CONSTRUCTION & MAINTENANCE LTD,09/09/2014,4000
Neighbourhood & Leisure Services,Leisure Facilities & Services,LEWC,Premises-Related Expenditure,R&M -Buildings DLO Charge,GRANVILLE CONSTRUCTION & MAINTENANCE LTD,09/09/2014,16000
Neighbourhood & Leisure Services,Leisure Facilities & Services,LEWC,Premises-Related Expenditure,R&M -Buildings DLO Charge,GRANVILLE CONSTRUCTION & MAINTENANCE LTD,09/09/2014,6000
Neighbourhood & Leisure Services,Leisure Facilities & Services,LEWC,Premises-Related Expenditure,R&M -Buildings DLO Charge,GRANVILLE CONSTRUCTION & MAINTENANCE LTD,09/09/2014,14000
Neighbourhood & Leisure Services,Leisure Facilities & Services,LEWE,Supplies & Services,Licences,Les Mills Fitness UK Ltd,22/09/2014,205.4
Neighbourhood & Leisure Services,Leisure Facilities & Services,LEWP,Supplies & Services,Chemicals/Cleaning Products,J.A.K. WATER SYSTEMS LTD,25/09/2014,228.15
Neighbourhood & Leisure Services,Leisure Facilities & Services,LEWP,Supplies & Services,Protective Clothing,SBA LTD,03/09/2014,1155.81
Neighbourhood & Leisure Services,Leisure Facilities & Services,WEAJ,Capital Expenditure,Payments to Contractor,NOBRIDGE LTD,11/09/2014,128.99
Neighbourhood & Leisure Services,Leisure Facilities & Services,WEPA,Capital Expenditure,Payments to Contractor,CITADEL SECURITY PRODUCTS LTD,02/09/2014,106958.88
Neighbourhood & Leisure Services,Leisure Facilities & Services,WEPA,Capital Expenditure,Payments to Contractor,CITADEL SECURITY PRODUCTS LTD,24/09/2014,44029.8
Neighbourhood & Leisure Services,Leisure Facilities & Services,WEPA,Capital Expenditure,Payments to Contractor,FITZGERALD CONTRACTORS LTD,04/09/2014,5435.83
Neighbourhood & Leisure Services,Leisure Facilities & Services,WEPA,Capital Expenditure,Payments to Contractor,FITZGERALD CONTRACTORS LTD,04/09/2014,6859.89
Neighbourhood & Leisure Services,Leisure Facilities & Services,WEPA,Capital Expenditure,Payments to Contractor,FITZGERALD CONTRACTORS LTD,04/09/2014,15528
Neighbourhood & Leisure Services,Leisure Facilities & Services,WEPA,Capital Expenditure,Payments to Contractor,FITZGERALD CONTRACTORS LTD,19/09/2014,23785.9
Neighbourhood & Leisure Services,Leisure Facilities & Services,WEPA,Capital Expenditure,Payments to Contractor,Footprint Interpretation Design Consultancy,19/09/2014,1180
Neighbourhood & Leisure Services,Leisure Facilities & Services,WEPA,Capital Expenditure,Payments to Contractor,Four and Twenty Arts CIC,19/09/2014,400
Neighbourhood & Leisure Services,Leisure Facilities & Services,WEPA,Capital Expenditure,Payments to Contractor,Ground Control Limited,15/09/2014,271573.33
Neighbourhood & Leisure Services,Leisure Facilities & Services,WEPA,Capital Expenditure,Payments to Contractor,TELFORD & WREKIN SERVICES LTD,19/09/2014,946.67
Neighbourhood & Leisure Services,Leisure Facilities & Services,WEPA,Capital Expenditure,Other Capital Expenditure,TELFORD HORNETS RUGBY FOOTBALL CLUB,11/09/2014,120
Neighbourhood & Leisure Services,Leisure Facilities & Services,WEPA,Capital Expenditure,Payments to Contractor,TFM FARM & COUNTRY SUPERSTORE LTD,11/09/2014,161.42
Neighbourhood & Leisure Services,Leisure Facilities & Services,WLAQ,Capital Expenditure,Payments to Contractor,BOW CONSTRUCTION LTD,30/09/2014,720.53
Neighbourhood & Leisure Services,Leisure Facilities & Services,WLAQ,Capital Expenditure,Payments to Contractor,BOW CONSTRUCTION LTD,30/09/2014,6083.06
Neighbourhood & Leisure Services,Leisure Facilities & Services,WLAQ,Capital Expenditure,Payments to Contractor,BOW CONSTRUCTION LTD,30/09/2014,2356.49
Neighbourhood & Leisure Services,Leisure Facilities & Services,WLAQ,Capital Expenditure,Payments to Contractor,BOW CONSTRUCTION LTD,30/09/2014,59644.87
Neighbourhood & Leisure Services,Leisure Facilities & Services,WLAQ,Capital Expenditure,Payments to Contractor,BOW CONSTRUCTION LTD,30/09/2014,57028.65
